,year,period,expenses,income
0,2008,Q1,1240000.0,220000.0
1,2008,Q2,1230000.0,280000.0
2,2008,Q3,1230000.0,240000.0
3,2008,Q4,1230000.0,200000.0
4,2009,Q1,1070000.0,400000.0
5,2009,Q2,1100000.0,240000.0
6,2009,Q3,880000.0,200000.0
7,2009,Q4,750000.0,150000.0
8,2010,Q1,960000.0,210000.0
9,2010,Q2,1040000.0,250000.0
10,2010,Q3,1000000.0,230000.0
11,2010,Q4,260000.0,250000.0
12,2011,Q1,820000.0,230000.0
13,2011,Q2,800000.0,210000.0
14,2011,Q3,800000.0,240000.0
15,2011,Q4,1230000.0,265000.0
16,2012,Q1,420000.0,255000.0
17,2012,Q2,400000.0,235000.0
18,2012,Q3,410000.0,225000.0
19,2012,Q4,500000.0,215000.0
20,2013,Q1,620000.0,245000.0
21,2013,Q2,570000.0,225000.0
22,2013,Q3,400000.0,185000.0
23,2013,Q4,460000.0,185000.0
24,2014,Q1,460000.0,145000.0
25,2014,Q2,570000.0,105000.0
26,2014,Q3,310000.0,45000.0
27,2014,Q4,460000.0,85000.0
28,2015,Q1,430000.0,50000.0
29,2015,Q2,400000.0,130000.0
30,2015,Q3,320000.0,20000.0
31,2015,Q4,310000.0,40000.0
32,2016,Q1,310000.0,0.0
33,2016,Q2,230000.0,0.0
34,2016,Q3,260000.0,0.0
35,2016,Q4,190000.0,0.0
36,2017,Q1,270000.0,0.0
37,2017,Q2,110000.0,0.0
38,2017,Q3,190000.0,0.0
39,2017,Q4,180000.0,35000.0
40,2018,Q1,250000.0,70000.0
41,2018,Q2,240000.0,80000.0
42,2018,Q3,210000.0,80000.0
43,2018,Q4,130000.0,110000.0
44,2019,Q1,250000.0,80000.0
45,2019,Q2,220000.0,100000.0
46,2019,Q3,240000.0,30000.0
47,2019,Q4,130000.0,40000.0
48,2020,Q1,180000.0,20000.0
49,2020,Q2,190000.0,70000.0
50,2020,Q3,160000.0,60000.0
51,2020,Q4,130000.0,20000.0
52,2021,Q1,140000.0,20000.0
53,2021,Q2,190000.0,40000.0
54,2021,Q3,160000.0,40000.0
55,2021,Q4,250000.0,110000.0
56,2022,Q1,260000.0,100000.0
57,2022,Q2,250000.0,90000.0
58,2022,Q3,200000.0,90000.0
59,2022,Q4,220000.0,90000.0
60,2023,Q1,325000.0,110000.0
61,2023,Q2,220000.0,80000.0
62,2023,Q3,220000.0,70000.0
63,2023,Q4,200000.0,0.0
